"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","NATO-ATOMAL","(U) ","NATO Atomal mark",
"(U) ","NATO-BOHEMIA","(U) ","NATO Bohemia mark",
"(U) ","NATO-BALK","(U) ","NATO Balk mark",

