"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","USGov","(U) ","Document claims compliance with all rules encoded in ISM for
			      	documents produced by the US Federal Government. This is the minimum set of rules
			      	for US documents to adhere to, and all US documents should claim compliance with
			      	USGov. For example, a US Intelligence Community document should claim
			      	ism:compliesWith=""USGov USIC"".",
"(U) ","USIC","(U) ","Document claims compliance with all rules encoded in ISM for
			      	documents produced by the US Intelligence Community. Documents that claim compliance
			      	with USIC MUST also claim compliance with USGov.",
"(U) ","USDOD","(U) ","Document claims compliance with all rules encoded in ISM for
			      	documents produced by the US Department of Defense. Documents that claim compliance
			      	with USDOD MUST also claim compliance with USGov.",
"(U) ","OtherAuthority","(U) ","Document claims compliance with an authority other than the
			      	USGov, USIC, or USDOD. This token is not allowed if the ism:ownerProducer contains
			      	USA.",
"(U) ","USA-CUI-ONLY","(U) ","Document is UNCLASSIFIED and was created in an UNCLASSIFIED 
				environment.  Document claims compliance with CUI rules but with no USGOV rules for classified environments.  
				Special transforms are required to move the document into a classified environment or to commingle content from 
				this document with any content created in a classified environment.",
"(U) ","USA-CUI","(U) ","Document contains both NSI (National Security Information) and CUI 
				according to DoD rules for CUI.  Document claims compliance with 1. CUI rules according to DoD, and 2. USGOV and/or USDOD rules for 
				classified environments.",

